id,name,artists,danceability,energy,loudness,speechiness,acousticness,liveness,valence,duration_ms,year
7AFASza1mXqntmGtbxXpr,changes,XXXTENTACION,0.669,0.308,-10.068,0.028999999999999998,0.883,0.0984,0.52,121887.0,2018
0E9ZjEAyAwOXZ7wJC0PD3,In My Mind,Dynoro,0.6940000000000001,0.77,-5.335,0.149,0.17600000000000002,0.11800000000000001,0.163,184560.0,2018
1cS0TgbR263ey9jn0MwD2,River (feat. Ed Sheeran),Eminem,0.748,0.7490000000000001,-5.916,0.516,0.142,0.0713,0.659,221013.0,2018
6KuqAtoeVzxAYOaMveLNp,Dura,Daddy Yankee,0.7909999999999999,0.848,-3.4560000000000004,0.0506,0.183,0.409,0.828,200480.0,2018
2xLMifQCjDGFmkHkpNLD9,SICKO MODE,Travis Scott,0.8340000000000001,0.73,-3.714,0.222,0.00513,0.124,0.446,312820.0,2018
1zB4vmk8tFRmM9UULNzbL,Thunder,Imagine Dragons,0.605,0.8220000000000001,-4.833,0.0438,0.00671,0.147,0.28800000000000003,187147.0,2018
6jA8JUuPCGYjFcgw0AoM5,Me Niego,Reik,0.777,0.779,-4.449,0.0972,0.0543,0.636,0.768,221653.0,2018
4kWO6O1BUXcZmaxitpVUw,Jackie Chan,Ti?sto,0.747,0.8340000000000001,-2.867,0.045,0.374,0.0586,0.687,215760.0,2018
3Vo4wInECJQuz9BIBMOu8,Finesse (Remix) [feat. Cardi B],Bruno Mars,0.7040000000000001,0.8590000000000001,-4.877,0.0996,0.0185,0.0215,0.9259999999999999,217289.0,2018
4hQ6UGyWQIGJmHSo0J88J,Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez,0.601,0.7240000000000001,-4.856,0.0486,0.0945,0.12,0.508,207905.0,2018
52okn5MNA47tk87PeZJLE,Let You Down,NF,0.6559999999999999,0.721,-5.665,0.122,0.298,0.17300000000000001,0.46799999999999997,212120.0,2018
1gm616Plq4ScqNi7TVkZ5,Call Out My Name,The Weeknd,0.489,0.598,-4.928999999999999,0.036000000000000004,0.218,0.35,0.172,228373.0,2018
1,Señorita,Shawn Mendes,0.76,0.55,-0.06,0.03,0.04,0.08,0.75,191000.0,2019
2,China,Anuel AA,0.79,0.81,-0.04,0.09,0.08,0.08,0.61,302000.0,2019
3,boyfriend (with Social House),Ariana Grande,0.4,0.8,-0.04,0.46,0.12,0.16,0.7000000000000001,186000.0,2019
4,Beautiful People (feat. Khalid),Ed Sheeran,0.64,0.65,-0.08,0.19,0.12,0.08,0.55,198000.0,2019
5,Goodbyes (Feat. Young Thug),Post Malone,0.58,0.65,-0.04,0.07,0.45,0.11,0.18,175000.0,2019
6,I Don't Care (with Justin Bieber),Ed Sheeran,0.8,0.68,-0.05,0.04,0.09,0.09,0.84,220000.0,2019
7,Ransom,Lil Tecca,0.75,0.64,-0.06,0.29,0.02,0.07,0.23,131000.0,2019
8,How Do You Sleep?,Sam Smith,0.48,0.68,-0.05,0.09,0.15,0.08,0.35000000000000003,202000.0,2019
9,Old Town Road - Remix,Lil Nas X,0.88,0.62,-0.06,0.1,0.05,0.11,0.64,157000.0,2019
10,bad guy,Billie Eilish,0.7000000000000001,0.43,-0.11,0.38,0.33,0.1,0.56,194000.0,2019
11,Callaita,Bad Bunny,0.61,0.62,-0.05,0.31,0.6,0.24,0.24,251000.0,2019
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,0.8200000000000001,0.71,-0.04,0.07,0.28,0.15,0.38,185000.0,2019
13,Someone You Loved,Lewis Capaldi,0.5,0.41000000000000003,-0.06,0.03,0.75,0.11,0.45,182000.0,2019
14,Otro Trago - Remix,Sech,0.73,0.79,-0.02,0.2,0.07,0.06,0.76,288000.0,2019
15,Money In The Grave (Drake ft. Rick Ross),Drake,0.8300000000000001,0.5,-0.04,0.05,0.1,0.12,0.1,205000.0,2019
16,No Guidance (feat. Drake),Chris Brown,0.7000000000000001,0.45,-0.07,0.15,0.12,0.16,0.14,261000.0,2019
17,LA CANCIÓN,J Balvin,0.75,0.65,-0.06,0.32,0.15,0.11,0.43,243000.0,2019
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.76,0.48,-0.06,0.05,0.56,0.07,0.91,158000.0,2019
19,Lalala,Y2K,0.84,0.39,-0.08,0.08,0.18,0.14,0.5,161000.0,2019
20,Truth Hurts,Lizzo,0.72,0.62,-0.03,0.11,0.11,0.12,0.41000000000000003,173000.0,2019
21,Piece Of Your Heart,MEDUZA,0.68,0.74,-0.07,0.03,0.04,0.07,0.63,153000.0,2019
22,Panini,Lil Nas X,0.7000000000000001,0.59,-0.06,0.08,0.34,0.12,0.48,115000.0,2019
23,No Me Conoce - Remix,Jhay Cortez,0.81,0.79,-0.04,0.07,0.14,0.09,0.58,309000.0,2019
24,Soltera - Remix,Lunay,0.8,0.78,-0.04,0.04,0.36,0.44,0.8,266000.0,2019
25,bad guy (with Justin Bieber),Billie Eilish,0.67,0.45,-0.11,0.3,0.25,0.12,0.68,195000.0,2019
26,If I Can't Have You,Shawn Mendes,0.6900000000000001,0.8200000000000001,-0.04,0.06,0.49,0.13,0.87,191000.0,2019
27,Dance Monkey,Tones and I,0.8200000000000001,0.59,-0.06,0.1,0.6900000000000001,0.18,0.54,210000.0,2019
28,It's You,Ali Gatie,0.73,0.46,-0.07,0.03,0.37,0.19,0.4,213000.0,2019
29,Con Calma,Daddy Yankee,0.74,0.86,-0.03,0.06,0.11,0.06,0.66,193000.0,2019
30,QUE PRETENDES,J Balvin,0.64,0.79,-0.04,0.25,0.03,0.36,0.9400000000000001,222000.0,2019
31,Takeaway,The Chainsmokers,0.29,0.51,-0.08,0.04,0.12,0.1,0.36,210000.0,2019
32,7 rings,Ariana Grande,0.78,0.32,-0.11,0.33,0.59,0.09,0.33,179000.0,2019
33,0.958333333333333,Maluma,0.78,0.71,-0.05,0.28,0.22,0.09,0.68,176000.0,2019
34,The London (feat. J. Cole & Travis Scott),Young Thug,0.8,0.59,-0.07,0.15,0.02,0.13,0.18,200000.0,2019
35,Never Really Over,Katy Perry,0.77,0.88,-0.05,0.06,0.19,0.32,0.39,224000.0,2019
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,0.66,0.72,-0.07,0.06,0.18,0.14,0.32,164000.0,2019
37,Otro Trago,Sech,0.75,0.7000000000000001,-0.05,0.34,0.14,0.11,0.62,226000.0,2019
38,Antisocial (with Travis Scott),Ed Sheeran,0.72,0.8200000000000001,-0.05,0.05,0.13,0.36,0.91,162000.0,2019
39,Sucker,Jonas Brothers,0.84,0.73,-0.05,0.06,0.04,0.11,0.9500000000000001,181000.0,2019
40,"fuck, i'm lonely (with Anne-Marie) - from 13 Reasons Why: Season 3",Lauv,0.81,0.56,-0.06,0.07,0.48,0.06,0.68,199000.0,2019
41,Higher Love,Kygo,0.6900000000000001,0.68,-0.07,0.03,0.02,0.1,0.4,228000.0,2019
42,You Need To Calm Down,Taylor Swift,0.77,0.68,-0.06,0.05,0.01,0.07,0.73,171000.0,2019
43,Shallow,Lady Gaga,0.5700000000000001,0.39,-0.06,0.03,0.37,0.23,0.32,216000.0,2019
44,Talk,Khalid,0.9,0.4,-0.09,0.13,0.05,0.06,0.35000000000000003,198000.0,2019
45,Con Altura,ROSALÍA,0.88,0.6900000000000001,-0.04,0.12,0.39,0.05,0.75,162000.0,2019
46,One Thing Right,Marshmello,0.66,0.62,-0.02,0.05,0.07,0.58,0.44,182000.0,2019
47,Te Robaré,Nicky Jam,0.67,0.75,-0.04,0.06,0.24,0.08,0.8,202000.0,2019
48,Happier,Marshmello,0.6900000000000001,0.79,-0.03,0.05,0.19,0.17,0.67,214000.0,2019
49,Call You Mine,The Chainsmokers,0.59,0.7000000000000001,-0.06,0.03,0.23,0.41000000000000003,0.5,218000.0,2019
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,0.75,0.79,-0.06,0.12,0.21,0.07,0.61,206000.0,2019
